name,year,pct
San Jose Sharks,1997,0.415
St. Louis Blues,1997,0.549
Tampa Bay Lightning,1997,0.207
Toronto Maple Leafs,1997,0.366
Vancouver Canucks,1997,0.305
Washington Capitals,1997,0.488
Mighty Ducks of Anaheim,1998,0.427
Boston Bruins,1998,0.476
Buffalo Sabres,1998,0.451
Calgary Flames,1998,0.366
Carolina Hurricanes,1998,0.415
Chicago Blackhawks,1998,0.354
Colorado Avalanche,1998,0.537
Dallas Stars,1998,0.622
Detroit Red Wings,1998,0.524
Edmonton Oilers,1998,0.402
Florida Panthers,1998,0.366
Los Angeles Kings,1998,0.39
Montreal Canadiens,1998,0.39
Nashville Predators,1998,0.341
New Jersey Devils,1998,0.573
New York Islanders,1998,0.293
New York Rangers,1998,0.402
Ottawa Senators,1998,0.537
Philadelphia Flyers,1998,0.451
Phoenix Coyotes,1998,0.476
Pittsburgh Penguins,1998,0.463
San Jose Sharks,1998,0.378
St. Louis Blues,1998,0.451
Tampa Bay Lightning,1998,0.232
Toronto Maple Leafs,1998,0.549
Vancouver Canucks,1998,0.28
Washington Capitals,1998,0.378
Mighty Ducks of Anaheim,1999,0.415
Atlanta Thrashers,1999,0.171
Boston Bruins,1999,0.293
Buffalo Sabres,1999,0.427
Calgary Flames,1999,0.378
Carolina Hurricanes,1999,0.451
Chicago Blackhawks,1999,0.402
Colorado Avalanche,1999,0.512
Dallas Stars,1999,0.524
Detroit Red Wings,1999,0.585
Edmonton Oilers,1999,0.39
Florida Panthers,1999,0.524
Los Angeles Kings,1999,0.476
Montreal Canadiens,1999,0.427
Nashville Predators,1999,0.341
New Jersey Devils,1999,0.549
New York Islanders,1999,0.293
New York Rangers,1999,0.354
Ottawa Senators,1999,0.5
Philadelphia Flyers,1999,0.549
Phoenix Coyotes,1999,0.476
Pittsburgh Penguins,1999,0.451
San Jose Sharks,1999,0.427
St. Louis Blues,1999,0.622
Tampa Bay Lightning,1999,0.232
Toronto Maple Leafs,1999,0.549
Vancouver Canucks,1999,0.366
Washington Capitals,1999,0.537
Mighty Ducks of Anaheim,2000,0.305
Atlanta Thrashers,2000,0.28
Boston Bruins,2000,0.439
Buffalo Sabres,2000,0.561
Calgary Flames,2000,0.329
Carolina Hurricanes,2000,0.463
Columbus Blue Jackets,2000,0.341
Chicago Blackhawks,2000,0.354
Colorado Avalanche,2000,0.634
Dallas Stars,2000,0.585
Detroit Red Wings,2000,0.598
Edmonton Oilers,2000,0.476
Florida Panthers,2000,0.268
Los Angeles Kings,2000,0.463
Minnesota Wild,2000,0.305
Montreal Canadiens,2000,0.341
Nashville Predators,2000,0.415
New Jersey Devils,2000,0.585
New York Islanders,2000,0.256
New York Rangers,2000,0.402
Ottawa Senators,2000,0.585
Philadelphia Flyers,2000,0.524
Phoenix Coyotes,2000,0.427
Pittsburgh Penguins,2000,0.512
San Jose Sharks,2000,0.488
St. Louis Blues,2000,0.524
Tampa Bay Lightning,2000,0.293
Toronto Maple Leafs,2000,0.451
Vancouver Canucks,2000,0.439
Washington Capitals,2000,0.5
Mighty Ducks of Anaheim,2001,0.354
Atlanta Thrashers,2001,0.232
Boston Bruins,2001,0.524
Buffalo Sabres,2001,0.427
Calgary Flames,2001,0.39
Carolina Hurricanes,2001,0.427
Columbus Blue Jackets,2001,0.268
Chicago Blackhawks,2001,0.5
Colorado Avalanche,2001,0.549
Dallas Stars,2001,0.439
Detroit Red Wings,2001,0.622
Edmonton Oilers,2001,0.463
Florida Panthers,2001,0.268
Los Angeles Kings,2001,0.488
Minnesota Wild,2001,0.317
Montreal Canadiens,2001,0.439
Nashville Predators,2001,0.341
New Jersey Devils,2001,0.5
New York Islanders,2001,0.512
New York Rangers,2001,0.439
Ottawa Senators,2001,0.476
Philadelphia Flyers,2001,0.512
Phoenix Coyotes,2001,0.488
Pittsburgh Penguins,2001,0.341
San Jose Sharks,2001,0.537
St. Louis Blues,2001,0.524
Tampa Bay Lightning,2001,0.329
Toronto Maple Leafs,2001,0.524
Vancouver Canucks,2001,0.512
Washington Capitals,2001,0.439
Mighty Ducks of Anaheim,2002,0.488
Atlanta Thrashers,2002,0.378
Boston Bruins,2002,0.439
Buffalo Sabres,2002,0.329
Calgary Flames,2002,0.354
Carolina Hurricanes,2002,0.268
Columbus Blue Jackets,2002,0.354
Chicago Blackhawks,2002,0.366
Colorado Avalanche,2002,0.512
Dallas Stars,2002,0.561
Detroit Red Wings,2002,0.585
Edmonton Oilers,2002,0.439
Florida Panthers,2002,0.293
Los Angeles Kings,2002,0.402
Minnesota Wild,2002,0.512
Montreal Canadiens,2002,0.366
Nashville Predators,2002,0.329
New Jersey Devils,2002,0.561
New York Islanders,2002,0.427
New York Rangers,2002,0.39
Ottawa Senators,2002,0.634
Philadelphia Flyers,2002,0.549
Phoenix Coyotes,2002,0.378
Pittsburgh Penguins,2002,0.329
San Jose Sharks,2002,0.341
St. Louis Blues,2002,0.5
Tampa Bay Lightning,2002,0.439
Toronto Maple Leafs,2002,0.537
Vancouver Canucks,2002,0.549
Washington Capitals,2002,0.476
Mighty Ducks of Anaheim,2003,0.354
Atlanta Thrashers,2003,0.402
Boston Bruins,2003,0.5
Buffalo Sabres,2003,0.451
Calgary Flames,2003,0.512
Carolina Hurricanes,2003,0.341
Columbus Blue Jackets,2003,0.305
Chicago Blackhawks,2003,0.244
Colorado Avalanche,2003,0.488
Dallas Stars,2003,0.5
Detroit Red Wings,2003,0.585
Edmonton Oilers,2003,0.439
Florida Panthers,2003,0.341
Los Angeles Kings,2003,0.341
Minnesota Wild,2003,0.366
Montreal Canadiens,2003,0.5
Nashville Predators,2003,0.463
New Jersey Devils,2003,0.524
New York Islanders,2003,0.463
New York Rangers,2003,0.329
Ottawa Senators,2003,0.524
Philadelphia Flyers,2003,0.488
Phoenix Coyotes,2003,0.268
Pittsburgh Penguins,2003,0.28
San Jose Sharks,2003,0.524
St. Louis Blues,2003,0.476
Tampa Bay Lightning,2003,0.561
Toronto Maple Leafs,2003,0.549
Vancouver Canucks,2003,0.524
Washington Capitals,2003,0.28
Mighty Ducks of Anaheim,2005,0.524
Atlanta Thrashers,2005,0.5
Boston Bruins,2005,0.354
Buffalo Sabres,2005,0.634
Calgary Flames,2005,0.561
Carolina Hurricanes,2005,0.634
Columbus Blue Jackets,2005,0.427
Chicago Blackhawks,2005,0.317
Colorado Avalanche,2005,0.524
Dallas Stars,2005,0.646
Detroit Red Wings,2005,0.707
Edmonton Oilers,2005,0.5
Florida Panthers,2005,0.451
Los Angeles Kings,2005,0.512
Minnesota Wild,2005,0.463
Montreal Canadiens,2005,0.512
Nashville Predators,2005,0.598
New Jersey Devils,2005,0.561
New York Islanders,2005,0.439
New York Rangers,2005,0.537
Ottawa Senators,2005,0.634
Philadelphia Flyers,2005,0.549
Phoenix Coyotes,2005,0.463
Pittsburgh Penguins,2005,0.268
San Jose Sharks,2005,0.537
St. Louis Blues,2005,0.256
Tampa Bay Lightning,2005,0.524
Toronto Maple Leafs,2005,0.5
Vancouver Canucks,2005,0.512
Washington Capitals,2005,0.354
Anaheim Ducks,2006,0.585
Atlanta Thrashers,2006,0.524
Boston Bruins,2006,0.427
Buffalo Sabres,2006,0.646
Calgary Flames,2006,0.524
Carolina Hurricanes,2006,0.488
Columbus Blue Jackets,2006,0.402
Chicago Blackhawks,2006,0.378
Colorado Avalanche,2006,0.537
Dallas Stars,2006,0.61
Detroit Red Wings,2006,0.61
Edmonton Oilers,2006,0.39
Florida Panthers,2006,0.427
Los Angeles Kings,2006,0.329
Minnesota Wild,2006,0.585
Montreal Canadiens,2006,0.512
Nashville Predators,2006,0.622
New Jersey Devils,2006,0.598
New York Islanders,2006,0.488
New York Rangers,2006,0.512
Ottawa Senators,2006,0.585
Philadelphia Flyers,2006,0.268
Phoenix Coyotes,2006,0.378
Pittsburgh Penguins,2006,0.573
San Jose Sharks,2006,0.622
St. Louis Blues,2006,0.415
Tampa Bay Lightning,2006,0.537
Toronto Maple Leafs,2006,0.488
Vancouver Canucks,2006,0.598
Washington Capitals,2006,0.341
Anaheim Ducks,2007,0.573
Atlanta Thrashers,2007,0.415
Boston Bruins,2007,0.5
Buffalo Sabres,2007,0.476
Calgary Flames,2007,0.512
Carolina Hurricanes,2007,0.524
Columbus Blue Jackets,2007,0.415
Chicago Blackhawks,2007,0.488
Colorado Avalanche,2007,0.537
Dallas Stars,2007,0.549
Detroit Red Wings,2007,0.659
Edmonton Oilers,2007,0.5
Florida Panthers,2007,0.463
Los Angeles Kings,2007,0.39
Minnesota Wild,2007,0.537
Montreal Canadiens,2007,0.573
Nashville Predators,2007,0.5
New Jersey Devils,2007,0.561
New York Islanders,2007,0.427
New York Rangers,2007,0.512
Ottawa Senators,2007,0.524
Philadelphia Flyers,2007,0.512
Phoenix Coyotes,2007,0.463
Pittsburgh Penguins,2007,0.573
San Jose Sharks,2007,0.598
St. Louis Blues,2007,0.402
Tampa Bay Lightning,2007,0.378
Toronto Maple Leafs,2007,0.439
Vancouver Canucks,2007,0.476
Washington Capitals,2007,0.524
Anaheim Ducks,2008,0.512
Atlanta Thrashers,2008,0.427
Boston Bruins,2008,0.646
Buffalo Sabres,2008,0.5
Calgary Flames,2008,0.561
Carolina Hurricanes,2008,0.549
Columbus Blue Jackets,2008,0.5
Chicago Blackhawks,2008,0.561
Colorado Avalanche,2008,0.39
Dallas Stars,2008,0.439
Detroit Red Wings,2008,0.622
Edmonton Oilers,2008,0.463
Florida Panthers,2008,0.5
Los Angeles Kings,2008,0.415
Minnesota Wild,2008,0.488
